time sec,time nanosec,position X,position Y,position Z,orientation X,orientation Y,orientation Z,orientation W
368,900019239,-0.7407069505229191,-16.447140366470208,0.0011737538470550555,3.793694094450029e-05,-3.184569171013954e-05,0.024107362919567825,0.9997093740681362
368,916685907,-0.7407064739207538,-16.447127015028155,0.001173633882111556,3.9264504187447084e-05,-3.112816943527497e-05,0.024182910776500012,0.9997075493941774
368,933352574,-0.7407083808293209,-16.44713082973193,0.0011739051225014745,3.697203729752242e-05,-3.2514782327602305e-05,0.024223736196007012,0.9997065610370693
368,950019242,-0.7407174421132953,-16.447138459157514,0.001173025397399973,3.662282715494815e-05,-3.038424636972666e-05,0.024242133823488273,0.9997061151574748
368,966685909,-0.7407231635045429,-16.447134644479792,0.001173451687821487,3.937612002591665e-05,-3.158411533785249e-05,0.024258120594441077,0.9997057272203608
368,983352577,-0.740728409178517,-16.447134644497755,0.0011731619687717183,3.822131176676189e-05,-3.115198109454829e-05,0.024261528287437377,0.9997056445843663
369,19244,-0.7407317473370998,-16.44712892246329,0.00117298843890723,3.7274388624380604e-05,-3.11370825927911e-05,0.024260221459727577,0.9997056763347035
369,16685912,-0.7407303166793511,-16.447130829807023,0.001173075581219789,3.763545167782706e-05,-3.13602216190361e-05,0.024241710201411856,0.9997061253621586
369,33352579,-0.7407260248672211,-16.44713082979233,0.001173247600911328,3.7769545376816696e-05,-3.092766461917892e-05,0.024218820042790464,0.9997066801680761
369,50019247,-0.7407193497084907,-16.447134644466782,0.001172879405277961,3.717005299107209e-05,-3.140026052773e-05,0.02419014322482696,0.9997073744867411
369,66685914,-0.7407145805814684,-16.447136551799073,0.0011733486930592834,3.760330350744748e-05,-3.135876672933729e-05,0.024159012485036716,0.9997081272643367
369,83352582,-0.7407121965467319,-16.447134644442286,0.001173255511618983,3.715587324822763e-05,-3.1484766352006036e-05,0.02412650780987486,0.9997089122584887
369,100019250,-0.7407107666032182,-16.447134644437423,0.0011728956195255844,3.8176729752097585e-05,-3.0839534384947934e-05,0.024089093901129278,0.9997098144694204
369,116685917,-0.7407112431632195,-16.447132737090406,0.001173075187996462,3.700821515457631e-05,-3.106612024595163e-05,0.024053691520105013,0.9997106669379615
369,133352585,-0.740710766178592,-16.4471346444374,0.001173163840090956,3.737482796021452e-05,-3.191855305504493e-05,0.024016984071990294,0.9997115494283408
369,150019252,-0.7407112426377073,-16.447134644439014,0.0011734030132622543,3.7461906203324036e-05,-3.097157415891009e-05,0.023979520610945108,0.9997124487714637
369,166685920,-0.7407069511086614,-16.447134644424334,0.0011733962192435456,3.6910044844105355e-05,-3.178297907937549e-05,0.02394546257198265,0.9997132651164056
369,183352587,-0.740704567680749,-16.447134644416217,0.0011729156082280463,3.7154697127137725e-05,-3.13092544319782e-05,0.023913501241482324,0.9997140301594415
369,200019255,-0.7407012293530175,-16.447134644404777,0.0011732083468416858,3.7065633201131704e-05,-3.0653137102498374e-05,0.023882993038755195,0.9997147594839414
369,216685922,-0.7406974143904975,-16.447130829694448,0.0011733811211635163,3.766686549732839e-05,-3.1863288058459325e-05,0.023855349038688634,0.9997154194510458
369,233352590,-0.7406959843932783,-16.447132737038213,0.001173051031485497,3.703850716643577e-05,-3.106551218323822e-05,0.023825321825415687,0.9997161355619896
369,250019257,-0.7406964608589182,-16.447130829691194,0.001173290204526457,3.6716991101405304e-05,-3.0651583509077125e-05,0.023800569381763812,0.9997167251824123
369,266685925,-0.7406940766695902,-16.44713273703167,0.0011732864302019567,3.660002654518508e-05,-3.1884135154882716e-05,0.023774540863983656,0.9997173444782014
369,283352592,-0.7406921699025651,-16.44712892232791,0.0011729257829569144,3.653256060222322e-05,-3.090023412165524e-05,0.023753269503951346,0.9997178501449397
369,300019260,-0.7406902625026172,-16.447130829670012,0.001172952565808423,3.6361086721803254e-05,-3.1279790753540585e-05,0.02372974442504218,0.9997184088176871
369,316685928,-0.7406902622797631,-16.447127014972736,0.0011731015769729533,3.60975832893879e-05,-3.0646161283750906e-05,0.023713645787182835,0.9997187908413332
369,333352595,-0.7406888312852249,-16.447130829665088,0.0011733973354111397,3.6671250641721714e-05,-3.181180202294921e-05,0.023689633967962812,0.9997193600634593
369,350019263,-0.7406883545495503,-16.44712892231483,0.0011733369758197513,3.6094107880951e-05,-3.157310139759344e-05,0.023675223135354948,0.9997197014712903
369,366685930,-0.7406883551157185,-16.447128922314853,0.0011729793483992556,3.6859509364253054e-05,-3.089844221371084e-05,0.023660023340900848,0.9997200613082499
369,383352598,-0.7406874004989835,-16.447128922311546,0.0011735738843181465,3.488034671318767e-05,-3.186311016536041e-05,0.02364591909199627,0.9997203950497351
369,400019265,-0.7406869243766577,-16.447127014961314,0.001173126095021221,3.5828088974818456e-05,-3.0808615682277954e-05,0.0236340886791991,0.9997206747984564
369,416685933,-0.7406835870266714,-16.447130829647186,0.0011727929859096692,3.65535113648586e-05,-3.143035832417727e-05,0.023617279590591723,0.9997210719899392
369,433352600,-0.7406816780893348,-16.447127014943323,0.001173803243776527,3.510477061646676e-05,-3.156070061196331e-05,0.02361244903452462,0.999721186142501
369,450019268,-0.7406816795388868,-16.447130829640656,0.0011728793732009228,3.6678744739979006e-05,-3.156404343600732e-05,0.02359611983679727,0.9997215716323362
369,466685935,-0.7406816779477927,-16.447127014943316,0.0011738926506316507,3.461862888121748e-05,-3.217877016132169e-05,0.023594240195410267,0.9997216160490272
369,483352603,-0.7406826334007307,-16.44713082964393,0.0011727616738426928,3.662598897353295e-05,-3.059891100213154e-05,0.0235812615541106,0.9997219222492624
